PRINCIPI ATTIVI,FORMATO,LINK ALLA SCHEDA INFORMATIVA E DIARIO PAZIENTE
ABEMACICLIB + EXEMESTANE,MODIFICABILE,https://docs.google.com/presentation/d/1dPDkd1kcQ9XG-CgoPy3Sv7owkGjE2Qyz/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
ABEMACICLIB + LETROZOLO,MODIFICABILE,https://docs.google.com/presentation/d/11c46WPcTaD4lBjFVmTUdq5N4yTLwShj2/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
ABEMACICLIB + ANASTROZOLO,MODIFICABILE,https://docs.google.com/presentation/d/1LuASwFKWXEgBy0FXw2yDdvu4r956Lbpn/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
ABIRATERONE (+ PREDNISONE),MODIFICABILE,https://docs.google.com/presentation/d/16L-hlc-USJuv1Y4mpRAHUh9YqHctcjUr/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
ABIRATERONE +OLAPARIB (+ PREDNISONE),MODIFICABILE,https://docs.google.com/presentation/d/1RNqtMTAIAM91mgh180Oc0bSFBZAUjhWT/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
ALECTINIB,MODIFICABILE,https://docs.google.com/presentation/d/1NNKK-jrL93BSPgBMvHSq9CjaKay9xkig/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
APALUTAMIDE,MODIFICABILE,https://docs.google.com/presentation/d/1deXp8WfDjtkjDxtf-Y4Lno3DMHssSZGP/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
AXITINIB,MODIFICABILE,https://docs.google.com/presentation/d/1qzLb9ofb-F0hDP8KWVHTjEEy5QSvKCQ5/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
ENCORAFENIB+BINIMETINIB,MODIFICABILE,https://docs.google.com/presentation/d/1V-91MXJPtF42ALwUNuSRQG8x2tC5M1EC/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
CAPECITABINA (schema terapia 14 gg),MODIFICABILE,https://docs.google.com/presentation/d/1WK9L2NYw6G-_Xs3Kytn_cAZA5KwbyKcg/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
CAPECITABINA (schema terapia metronomica 28 gg),MODIFICABILE,https://docs.google.com/presentation/d/1sE3MTXMlDwm5VEnkdQ7zrQ5VwrgpOeE7/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
CAPECITABINA + TEMOZOLOMIDE,MODIFICABILE,https://docs.google.com/presentation/d/1vgYW0DI1P3yG5fk_0pdoCs8a3wz1Eaod/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
CAPIVASERTIB+FULVESTRANT,MODIFICABILE,https://docs.google.com/presentation/d/11EUjUGXdK49HKPblP13zNLf04v85t3kS/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
DAROLUTAMIDE,MODIFICABILE,https://docs.google.com/presentation/d/1g5hnmT_YjJYXrzOVSnVFBhwDyUpsjEA1/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
ELACESTRANT,MODIFICABILE,https://docs.google.com/presentation/d/1wUEQ2ngJxCJpxeOQcwbDp9NA50qdQCr1/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
ENZALUTAMIDE,MODIFICABILE,https://docs.google.com/presentation/d/11PYqYqFS6noUOaMaQ6PjMwBkcctx7Lxb/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
IMATINIB (GIST),MODIFICABILE,https://docs.google.com/presentation/d/1s30YCvkzfHNGqp8kKnrYyJdgu8p3u6ax/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
LENVATINIB (+PEMBROLIZUMAB) (CA RENE),MODIFICABILE,https://docs.google.com/presentation/d/1DqNA9pApR1qn3w3CEJGyTYDm4dm6HDtd/edit?usp=sharing&ouid=112631984749324500620&rtpof=true&sd=true
